*** Hong Kong (2107) ***
1.   International Commerce Centre, 484m
304. Bank of Communications Tower, 155m
305. Imperial Court Block C, 155m
306. Li Po Chun Chambers, 154m
307. Metro City I Tower 3, 154m
308. Metro City I Tower 4, 154m
309. Metro City I Tower 5, 154m
310. Metro City I Tower 6, 154m
311. Metro City I Tower 1, 154m
312. Metro City I Tower 2, 154m
313. The Panorama, 154m
314. Liberte 8, 153m
315. Century Gateway 2, 153m
316. The Zenith 1, 153m
317. Robinson Place Tower A, 153m
318. York Place, 152m
319. Bayshore Apartments, 152m
320. Thorn Cliff, 152m
321. World Trade Centre, 152m
322. Nan Fung Plaza 1, 151m
323. Nan Fung Plaza 2, 151m
324. New World Tower 1, 151m
325. Century Gateway 6, 151m
326. 31 Robinson Road, 151m
327. Oscar by The Sea Tower 3, 151m
328. Dynasty Court Tower 3-5, 151m
329. Skyline Tower, 151m
330. East Point City Tower 1, 151m
331. East Point City Tower 2, 151m
332. East Point City Tower 3, 151m
333. East Point City Tower 5, 151m
334. East Point City Tower 6, 151m
335. East Point City Tower 7, 151m
336. East Point City Tower 8, 151m
337. Queen's Terrace 1, 151m
338. Royal Penisula 2-5, 150m
339. Harbour One, 150m
340. Sun Tuen Mun Centre 1, 150m
341. Sun Tuen Mun Centre 10, 150m
342. Sun Tuen Mun Centre 2, 150m
343. Sun Tuen Mun Centre 3, 150m
344. Sun Tuen Mun Centre 4, 150m
345. Sun Tuen Mun Centre 5, 150m
346. Sun Tuen Mun Centre 6, 150m
347. Sun Tuen Mun Centre 7, 150m
348. Sun Tuen Mun Centre 8, 150m
349. Sun Tuen Mun Centre 9, 150m
350. Robinson Place Tower B, 150m
351. Broadview Villa, 150m
352. VISTA, 150m
353. Manulife Tower, 150m
354. Serenity Place 1, 150m
355. Serenity Place 2, 150m
356. Serenity Place 4, 150m
357. Serenity Place 5, 150m
358. Broadview Court 3, 149m
359. Broadview Court 4, 149m
360. Renaissance Harbour View Hotel, 149m
361. Maritime Bay 1, 149m
362. Maritime Bay 2, 149m
363. Hong Kong Sanitorium & Hospital - Li Shu Pui Block, 148m
364. Villa Esplanada 10, 148m
365. Villa Esplanada 11, 148m
366. Villa Esplanada 8, 148m
367. Villa Esplanada 9, 148m
368. City Point Tower 7, 148m
369. City Point Tower 8, 148m
370. Bel Air Heights 1, 147m
371. Bel Air Heights 2, 147m
372. Birchwood Place, 147m
373. Century Gateway 3, 147m
374. Park Avenue Tower 1, 147m
375. Park Avenue Tower 2, 147m
376. Park Avenue Tower 3, 147m
377. Park Avenue Tower 5, 147m
378. Radiant Towers 1, 147m
379. Radiant Towers 2, 147m
380. The Colonnade, 147m
381. Serenity Place 3, 146m
382. The Zenith 2, 146m
383. The Zenith 3, 146m
384. Bank of America Tower, 146m
385. Great Eagle Centre, 146m
386. Harbour Centre, 146m
387. MLC Millennia Plaza, 146m
388. Kornville Tower 1, 146m
389. Kornville Tower 2, 146m
390. Grand Terrace, 146m
391. Century Gateway 7, 145m
392. Tierra Verde 1, 145m
393. The Pinnacle 1, 145m
394. The Pinnacle 2, 145m
395. The Pinnacle 3, 145m
396. The Pinnacle 4, 145m
397. Broad View Villa, 145m
398. New Haven 1-3, 145m
399. Western Harbour Centre, 144m
400. Three Exchange Square, 144m
401. Broadview Court 1, 144m
402. Broadview Court 2, 144m
403. iSQUARE, 144m
404. Discovery Park Tower 1, 143m
405. Discovery Park Tower 2, 143m
406. Discovery Park Tower 3, 143m
407. Discovery Park Tower 5, 143m
408. Villa Esplanada 3, 143m
409. Villa Esplanada 5, 143m
410. Villa Esplanada 6, 143m
411. Villa Esplanada 7, 143m
412. Dah Sing Financial Centre, 142m
413. The Waterfront 1, 142m
414. The Waterfront 2, 142m
415. The Waterfront 3, 142m
416. The Waterfront 5, 142m
417. The Waterfront 6, 142m
418. The Waterfront 7, 142m
419. Sing Pao Centre, 142m
420. 633 Kings Road, 142m
421. Tierra Verde 2, 142m
422. Tierra Verde 3, 142m
423. Tierra Verde 3A, 142m
424. Tierra Verde 5, 142m
425. The Manhattan, 142m
426. Windsor House, 142m
427. Morrison Plaza, 142m
428. Well On Garden 1, 141m
429. Well On Garden 2, 141m
430. Well On Garden 3, 141m
431. Well On Garden 4, 141m
432. Oscar by The Sea Tower 1, 141m
433. Nan Fung Plaza 5, 141m
434. Ibis Hong Kong Central and Sheung Wan Hotel, 141m
435. Villa Esplanada 1, 141m
436. Villa Esplanada 2, 141m
437. Oscar by the Sea Tower 2, 140m
438. Nan Fung Plaza 6, 140m
439. Lexington Hill, 140m
440. Imperial Cullinan Tower 1, 140m
441. Imperial Cullinan Tower 2, 140m
442. Imperial Cullinan Tower 3, 140m
443. Imperial Cullinan Tower 5, 140m
444. Imperial Cullinan Tower 8, 140m
445. United Centre, 140m
446. Larvotto Towers 1, 2, 140m
447. Larvotto Towers 3, 5, 6, 7, 140m
448. Millennium City 1 - Tower 1, 140m
449. Century Gateway 8, 139m
450. Argenta, 139m
451. Princeton Tower, 139m
452. Wu Chung House, 138m
453. East, 138m
454. AIA Financial Centre, 138m
455. The Avenue Phase 2, T1, 138m
456. Kerry Centre, 138m
457. Millennium City 1 - Standard Chartered Tower, 138m
458. Two Chinachem Central, 138m
459. Berkshire House, 137m
460. 50 Connaught Road Central, 137m
461. Chater House, 137m
462. Queen Mary Hospital Block K, 137m
463. Nan Fung Plaza 3, 137m
464. Tierra Verde 9, 137m
465. Larvotto Towers 8, 9, 10, 137m
466. Metro City II Tower 1, 136m
467. Metro City II Tower 10, 136m
468. Metro City II Tower 11, 136m
469. Metro City II Tower 2, 136m
470. Metro City II Tower 3, 136m
471. Metro City II Tower 4, 136m
472. Metro City II Tower 5, 136m
473. Metro City II Tower 6, 136m
474. Metro City II Tower 7, 136m
475. Metro City II Tower 8, 136m
476. Metro City II Tower 9, 136m
477. Wan Chai Tower, 136m
478. OLIV, 136m
479. Top Glory Tower, 135m
480. Pacific View 1-5, 135m
481. 9 Des Voeux Road West, 135m
482. Tierra Verde 7, 134m
483. Tierra Verde 8, 134m
484. One Chinachem Central, 134m
485. Regence Royale Tower II, 133m
486. Regence Royale Tower I, 133m
487. Lai Tin House, 132m
488. Tai Tin House, 132m
489. Grand Hyatt Hong Kong, 132m
490. Queen's Terrace 3, 132m
491. Best Western Hotel Harbour View, 132m
492. Guangdong Finance Centre, 131m
493. Queen's Terrace 2, 131m
494. Mung Ching House, 131m
495. Sheung Ching House, 131m
496. Tierra Verde 6, 131m
497. Discovery Park Tower 10, 131m
498. Discovery Park Tower 11, 131m
499. Discovery Park Tower 12, 131m
500. Discovery Park Tower 13, 131m
501. Discovery Park Tower 6, 131m
502. Discovery Park Tower 7, 131m
503. Discovery Park Tower 8, 131m
504. Discovery Park Tower 9, 131m
505. Bank of China Centre, 131m
506. LHT Tower, 131m
507. Verbena Heights 1-2, 129m
508. Park Towers Two, 129m
509. The Gateway Tower 1, 129m
510. The Gateway Tower 2, 129m
511. The Gateway Tower 3, 129m
512. The Gateway Tower 5, 129m
513. The Gateway Tower 6, 129m
514. Yau Lai Estate Cheuk Lai House, 129m
515. Yau Lai Estate Yung Lai House, 129m
516. Choi Man House-Yee Man House, 128m
517. The Pavilia Hill Tower 3, 128m
518. The Pavilia Hill Tower 1, 128m
519. The Pavilia Hill Tower 2, 128m
520. The Pavilia Hill Tower 5, 128m
521. The Pavilia Hill Tower 6, 128m
522. Oi Chak House, 128m
523. Oi Ping House, 128m
524. King Man House, 128m
525. Sik Man House, 128m
526. Yat Man House, 128m
527. The Royal Court, 128m
528. Ching Chak House, 127m
529. Ching Chiu House, 127m
530. Ching Chung House, 127m
531. Ching Hin House, 127m
532. Ching Long House, 127m
533. Ching Ping House, 127m
534. Ching Yu House, 127m
535. Ching Yun House, 127m
536. Kwun Hei Court Block A, 127m
537. Hoi Yan House, 126m
538. Shing Tin House and Cheung Tin House, 126m
539. CITIC Tower, 126m
540. Lee Garden Two, 126m
541. H Queen's, 126m
542. Arsenal House West Wing, 126m
543. Central Government Offices, 126m
544. The Excelsior, 125m
545. Hong Ching House, 125m
546. Lok Ching House, 125m
547. Yan Ching House, 125m
548. CITÉ 33, 125m
549. Tak Cheung House, 124m
550. Tak Kei House, 124m
551. Tak Loong House, 124m
552. Tak Shan House, 124m
553. Tak Sui House, 124m
554. Tak Ying House, 124m
555. Tak Yiu House, 124m
556. Tak Yu House, 124m
557. Verbena Heights 7, 123m
558. Green Code Towers 1-2, 123m
559. Green Code Towers 3, 123m
560. Green Code Towers 5, 123m
561. Oi Yat House, 123m
562. MOD 595, 122m
563. Hung Yan House, 121m
564. Hung Yiu House, 121m
565. Forfar, 119m
566. Shui On Centre, 118m
567. Hung Yat House, 118m
568. Devon House, 118m
569. Yiu Fook House, 118m
570. Yiu Fu House, 118m
571. Yiu Lok House, 118m
572. Yiu Wah House, 118m
573. Fuk Lok House, 118m
574. Fuk On House, 118m
575. Hing Cho House, 118m
576. Hing Fung House, 118m
577. Hing Hong House, 118m
578. Tung Lam Court, 118m
579. Yuet Ching House, 117m
580. 33-49 Des Voeux Road West, 116m
581. 99 Bonham, 116m
582. High Point, 115m
583. Hoi Ning House-Hoi Nam House, 114m
584. Hoi Wen House, 114m
585. Hotel ICON, 114m
586. Cubus Building, 113m
587. Hotel Indigo Hong Kong Island, 113m
588. Chinese People`s Liberation Army Forces Hong Kong Building, 113m
589. Bedford 28, 111m
590. Tak Pui House, 110m
591. The Avenue Phase 1, T5, 110m
592. Tregunter Tower 1, 110m
593. Tregunter Tower 2, 110m
594. Pearl City Mansion, 109m
595. Cheung Chi House, 108m
596. Cheung Tak House, 108m
597. Tuen Mun Town Plaza Block 8, 108m
598. Academic 3, City University of Hong Kong, 107m
599. Lincoln House, 106m
600. Kwun Tong 223, 105m
601. Dragon Pride, 105m
602. Cityplaza 1, 105m
603. The Beacon, 104m
604. SKYPARK, 104m
605. J Hotel @ Jervois Street, 102m
606. Oi Yuk House, 101m
607. Hung Sing House, 99m
608. Southern Lodge, 96m
609. Trade and Industry Tower, 95m
610. Lee Garden Five, 95m
611. THE MOOD Lyndhurst, 95m
612. Wan Tin House, 94m
613. M+, 94m
614. Hong Kong Poly Technic University Community College, Hung Hom Campus, 94m
615. Cornwall House, 93m
616. Best Western Hotel Tsim Sha Tsui, 92m
617. Warwick House, 90m
618. 100 Queens Road Central, 90m
619. The Lily Repulse Bay, 90m
620. The Murray, 89m
621. The Hong Kong Club Building, 87m
622. Banyan Mansion, 87m
623. Kin On Mansion, 87m
624. Ko On Mansion, 87m
625. Pine Mansion, 87m
626. Hing On Mansion, 85m
627. Ning On Mansion, 85m
628. Po On Mansion, 85m
629. Shun On Mansion, 85m
630. Oi Sin House, 85m
631. Leighton Centre, 84m
632. Ruttenjee Hospital, 84m
633. ICAC Headquarters Building, 83m
634. Fuk Tai House, 83m
635. Lee Garden Six, 83m
636. Cityplaza 4, 83m
637. One Hysan Avenue, 82m
638. Cityplaza 3, 82m
639. Prince of Wales Hospital, 82m
640. Yiu Hing House, 82m
641. Mount Parker Residences, 82m
642. Foong Shan Mansion, 81m
643. Fu Shan Mansion, 81m
644. Fu Shan Mansion, 81m
645. Heng Shan Mansion, 81m
646. Kam Shan Mansion, 81m
647. Loong Shan Mansion, 81m
648. Lu Shan Mansion, 81m
649. Nan Shan Mansion, 81m
650. Po Shan Mansion, 81m
651. Tai Shan Mansion, 81m
652. Tien Shan Mansion, 81m
