*** Hong Kong (2107) ***
1.   International Commerce Centre, 484m
Completed: 2007
Functions: residential
Rank: 102

*** Manhattan Hill 6 ***
Height: 186.4
Floors: 48
Status: Completed
Completed: 2007
Functions: residential
Rank: 102

*** Lippo Tower ***
Height: 186
Floors: 48
Status: Completed
Started: 1986
Completed: 1988
Functions: office
Rank: 105

*** The Westpoint ***
Height: 185.55
Floors: 41
Status: Completed
Completed: 1999
Functions: office
Rank: 106

*** Manhattan Heights ***
Height: 185
Floors: 55
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 107

*** Sino Plaza ***
Height: 185
Floors: 38
Status: Completed
Completed: 1992
Functions: office
Rank: 108

*** AIA Central ***
Height: 185
Floors: 35
Status: Completed
Started: 2002
Completed: 2005
Functions: office
Rank: 109

*** Festival City III Tower 1 ***
Height: 184.7
Floors: 58
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 110

*** Festival City III Tower 2 ***
Height: 184.7
Floors: 58
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 110

*** Festival City III Tower 3 ***
Height: 184.7
Floors: 58
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 110

*** Ocean Pointe ***
Height: 183.7
Floors: 53
Status: Completed
Started: 1998
Completed: 2001
Functions: residential
Rank: 113

*** Cadogan ***
Height: 183.49
Floors: 49
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 114

*** Vision City Tower 6 ***
Height: 183
Floors: 50
Status: Completed
Completed: 2007
Functions: residential
Rank: 115

*** Banyan Garden 5 ***
Height: 182.7
Floors: 54
Status: Completed
Started: 2001
Completed: 2003
Functions: residential
Rank: 116

*** Branksome Crest ***
Height: 182
Floors: 47
Status: Completed
Started: 2004
Completed: 2003
Functions: residential
Rank: 117

*** Three Pacific Place ***
Height: 182
Floors: 40
Status: Completed
Started: 2001
Completed: 2004
Functions: office
Rank: 118

*** Convention Plaza Office Tower ***
Height: 181.28
Floors: 50
Status: Completed
Completed: 1990
Functions: office
Rank: 119

*** The Pavilia Bay Tower 1 ***
Height: 181.23
Floors: 51
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 120

*** Liberte 1 ***
Height: 180.9
Floors: 51
Status: Completed
Completed: 2003
Functions: residential
Rank: 121

*** Liberte 2 ***
Height: 180.9
Floors: 51
Status: Completed
Completed: 2003
Functions: residential
Rank: 121

*** Liberte 3 ***
Height: 180.9
Floors: 51
Status: Completed
Completed: 2003
Functions: residential
Rank: 121

*** Immigration Tower ***
Height: 180.75
Floors: 49
Status: Completed
Completed: 1990
Functions: office
Rank: 124

*** Revenue Tower ***
Height: 180.75
Floors: 49
Status: Completed
Completed: 1990
Functions: office
Rank: 124

*** AIA Tower ***
Height: 180.31
Floors: 44
Status: Completed
Completed: 1998
Functions: office
Rank: 126

*** Liberte 5 ***
Height: 180.2
Floors: 52
Status: Completed
Completed: 2003
Functions: residential
Rank: 127

*** Liberte 6 ***
Height: 180.2
Floors: 52
Status: Completed
Completed: 2003
Functions: residential
Rank: 127

*** The Merton 3 ***
Height: 180
Floors: 51
Status: Completed
Started: 1998
Completed: 2005
Functions: residential
Rank: 129

*** Banyan Garden 3 ***
Height: 179.8
Floors: 53
Status: Completed
Started: 2001
Completed: 2003
Functions: residential
Rank: 130

*** Hong Kong and Shanghai Banking Corporation Headquarters ***
Height: 178.8
Floors: 43
Status: Completed
Started: 1983
Completed: 1985
Functions: office
Rank: 131

*** Jardine House ***
Height: 178.54
Floors: 52
Status: Completed
Completed: 1973
Functions: office
Rank: 132

*** China Resources Building ***
Height: 178
Floors: 50
Status: Completed
Started: 1980
Completed: 1983
Functions: office
Rank: 133

*** Grand Waterfront 1-5 ***
Height: 177
Floors: 57
Status: Completed
Completed: 2007
Functions: residential
Rank: 134

*** Grand Waterfront 6 ***
Height: 177
Floors: 57
Status: Completed
Completed: 2007
Functions: residential
Rank: 134

*** The Oakhill ***
Height: 177
Floors: 53
Status: Completed
Started: 2008
Completed: 2011
Functions: residential
Rank: 136

*** Azura ***
Height: 177
Floors: 51
Status: Completed
Started: 2010
Completed: 2012
Functions: residential
Rank: 137

*** Far East Finance Centre ***
Height: 176.09
Floors: 48
Status: Completed
Completed: 1982
Functions: office
Rank: 138

*** One Kowloon ***
Height: 176
Floors: 39
Status: Completed
Completed: 2007
Functions: office
Rank: 139

*** Billionaire Royale ***
Height: 175.5
Floors: 54
Status: Completed
Completed: 2010
Functions: residential
Rank: 140

*** Oscar by the Sea Tower 5 ***
Height: 175.08
Floors: 59
Status: Completed
Completed: 2002
Functions: residential
Rank: 141

*** Vianni Cove 2 ***
Height: 175
Floors: 52
Status: Completed
Completed: 2003
Functions: residential
Rank: 142

*** Vianni Cove 3 ***
Height: 175
Floors: 52
Status: Completed
Completed: 2003
Functions: residential
Rank: 142

*** Enterprise Square 3 ***
Height: 175
Floors: 41
Status: Completed
Started: 2001
Completed: 2004
Functions: office
Rank: 144

*** Tavistock II ***
Height: 174.95
Floors: 46
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 145

*** Ocean Shores Tower 1-3 ***
Height: 174.44
Floors: 58
Status: Completed
Started: 1998
Completed: 2001
Functions: residential
Rank: 146

*** Ocean Shores Tower 15 ***
Height: 174.44
Floors: 58
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 146

*** Ocean Shores Tower 16-17 ***
Height: 174.44
Floors: 58
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 146

*** Ocean Shores Tower 5 ***
Height: 174.44
Floors: 58
Status: Completed
Started: 1998
Completed: 2001
Functions: residential
Rank: 146

*** Ocean Shores Tower 6 ***
Height: 174.44
Floors: 58
Status: Completed
Started: 1998
Completed: 2001
Functions: residential
Rank: 146

*** Ocean Shores Tower 7 ***
Height: 174.44
Floors: 58
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 146

*** Ocean Shores Tower 8 ***
Height: 174.44
Floors: 58
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 146

*** Ocean Shores Tower 9-10 ***
Height: 174.44
Floors: 58
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 146

*** The Pavilia Bay Tower 2 ***
Height: 174
Floors: 48
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 154

*** Metro Plaza Tower I ***
Height: 173.93
Floors: 47
Status: Completed
Completed: 1992
Functions: office
Rank: 155

*** Enterprise Square 5 / MegaBOX ***
Height: 173
Floors: 35
Status: Completed
Started: 2004
Completed: 2007
Functions: office / retail
Rank: 156

*** Queen's Garden ***
Height: 172.67
Floors: 34
Status: Completed
Started: 1991
Completed: 1992
Functions: residential
Rank: 157

*** The ONE ***
Height: 172.12
Floors: 24
Status: Completed
Started: 2006
Completed: 2010
Functions: retail
Rank: 158

*** The Dynasty 1 ***
Height: 172
Floors: 50
Status: Completed
Completed: 2009
Functions: residential / retail
Rank: 159

*** The Dynasty 2 ***
Height: 172
Floors: 50
Status: Completed
Completed: 2009
Functions: residential / retail
Rank: 159

*** Peregrine Tower, Lippo Centre ***
Height: 172
Floors: 44
Status: Completed
Started: 1986
Completed: 1988
Functions: office
Rank: 161

*** Dorset House/PCCW Tower ***
Height: 172
Floors: 42
Status: Completed
Completed: 1994
Functions: office
Rank: 162

*** Vianni Cove 1 ***
Height: 171.6
Floors: 51
Status: Completed
Completed: 2003
Functions: residential
Rank: 163

*** Ocean Shores Tower 11-13 ***
Height: 171.41
Floors: 57
Status: Completed
Started: 2000
Completed: 2003
Functions: residential
Rank: 164

*** Metro Harbourview 1 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 10 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 2 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 3 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 4 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 5 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 6 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 7 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 8 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Metro Harbourview 9 ***
Height: 171
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 165

*** Festival City I Tower 2 ***
Height: 170.4
Floors: 51
Status: Completed
Started: 2008
Completed: 2010
Functions: residential
Rank: 175

*** Festival City I Tower 3 ***
Height: 170.4
Floors: 51
Status: Completed
Started: 2008
Completed: 2010
Functions: residential
Rank: 175

*** L'Hotel Nina Tower ***
Height: 170.4
Floors: 42
Status: Completed
Started: 2000
Completed: 2006
Functions: hotel
Rank: 177

*** Arezzo ***
Height: 170.02
Floors: 48
Status: Completed
Completed: 2015
Functions: residential
Rank: 178

*** Festival City II Tower 5 ***
Height: 170
Floors: 55
Status: Completed
Started: 2008
Completed: 2010
Functions: residential
Rank: 179

*** Festival City II Tower 3 ***
Height: 170
Floors: 54
Status: Completed
Started: 2008
Completed: 2010
Functions: residential
Rank: 180

*** Langham Place Hotel ***
Height: 169.78
Floors: 42
Status: Completed
Started: 1999
Completed: 2004
Functions: hotel
Rank: 181

*** Albany Cove 6 ***
Height: 169.5
Floors: 54
Status: Completed
Completed: 2004
Functions: residential
Rank: 182

*** Albany Cove 7 ***
Height: 169.5
Floors: 54
Status: Completed
Completed: 2004
Functions: residential
Rank: 182

*** Albany Cove 8 ***
Height: 169.5
Floors: 54
Status: Completed
Completed: 2004
Functions: residential
Rank: 182

*** Caribbean Coast 10 ***
Height: 169.5
Floors: 54
Status: Completed
Started: 2003
Completed: 2005
Functions: residential
Rank: 182

*** Caribbean Coast 11 ***
Height: 169.5
Floors: 54
Status: Completed
Started: 2003
Completed: 2005
Functions: residential
Rank: 182

*** Caribbean Coast 12 ***
Height: 169.5
Floors: 54
Status: Completed
Started: 2003
Completed: 2005
Functions: residential
Rank: 182

*** Caribbean Coast 13 ***
Height: 169.5
Floors: 54
Status: Completed
Started: 2003
Completed: 2005
Functions: residential
Rank: 182

*** Caribbean Coast 15 ***
Height: 169.5
Floors: 54
Status: Completed
Started: 2003
Completed: 2005
Functions: residential
Rank: 182

*** Caribbean Coast 9 ***
Height: 169.5
Floors: 54
Status: Completed
Started: 2003
Completed: 2005
Functions: residential
Rank: 182

*** Monterey Cove 2 ***
Height: 169.5
Floors: 54
Status: Completed
Completed: 2003
Functions: residential
Rank: 182

*** Monterey Cove 3 ***
Height: 169.5
Floors: 54
Status: Completed
Completed: 2003
Functions: residential
Rank: 182

*** Monterey Cove 5 ***
Height: 169.5
Floors: 54
Status: Completed
Completed: 2003
Functions: residential
Rank: 182

*** Oscar by the Sea Tower 8 ***
Height: 169.48
Floors: 57
Status: Completed
Completed: 2002
Functions: residential
Rank: 194

*** Summit Terrace 3 ***
Height: 169
Floors: 47
Status: Completed
Completed: 2003
Functions: residential
Rank: 195

*** Summit Terrace 5 ***
Height: 169
Floors: 47
Status: Completed
Completed: 2003
Functions: residential
Rank: 195

*** Shell Tower, Times Square ***
Height: 168.8
Floors: 39
Status: Completed
Completed: 1993
Functions: office / retail
Rank: 197

*** The Avenue Phase 2, T2 ***
Height: 168.7
Floors: 43
Status: Completed
Completed: 2015
Functions: residential
Rank: 198

*** The Avenue Phase 2, T3 ***
Height: 168.7
Floors: 43
Status: Completed
Completed: 2015
Functions: residential
Rank: 198

*** Residence Oasis 1 ***
Height: 168.25
Floors: 55
Status: Completed
Completed: 2005
Functions: residential
Rank: 200

*** Residence Oasis 2 ***
Height: 168.25
Floors: 55
Status: Completed
Completed: 2005
Functions: residential
Rank: 200

*** Residence Oasis 3 ***
Height: 168.25
Floors: 55
Status: Completed
Completed: 2005
Functions: residential
Rank: 200

*** The Grandiose 1 ***
Height: 168
Floors: 55
Status: Completed
Started: 2004
Completed: 2006
Functions: residential
Rank: 203

*** The Grandiose 2 ***
Height: 168
Floors: 55
Status: Completed
Started: 2004
Completed: 2006
Functions: residential
Rank: 203

*** The Grandiose 3 ***
Height: 168
Floors: 55
Status: Completed
Started: 2004
Completed: 2006
Functions: residential
Rank: 203

*** Hong Kong Plaza ***
Height: 168
Floors: 43
Status: Completed
Completed: 1984
Functions: office
Rank: 206

*** Park Central 1 ***
Height: 167.9
Floors: 54
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 207

*** Park Central 12 ***
Height: 167.9
Floors: 54
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 207

*** Park Central 13 ***
Height: 167.9
Floors: 54
Status: Completed
Started: 1999
Completed: 2003
Functions: residential
Rank: 207

*** Park Central 2 ***
Height: 167.9
Floors: 54
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 207

*** Park Central 3 ***
Height: 167.9
Floors: 54
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 207

*** Park Central 5 ***
Height: 167.9
Floors: 54
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 207

*** Park Central 6 ***
Height: 167.9
Floors: 54
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 207

*** Oscar by the Sea Tower 6 ***
Height: 167.8
Floors: 58
Status: Completed
Completed: 2002
Functions: residential
Rank: 214

*** Oscar by the Sea Tower 7 ***
Height: 167.8
Floors: 58
Status: Completed
Completed: 2002
Functions: residential
Rank: 214

*** Festival City I Tower 1 ***
Height: 167.33
Floors: 49
Status: Completed
Started: 2008
Completed: 2010
Functions: residential
Rank: 216

*** Festival City I Tower 5 ***
Height: 167.33
Floors: 49
Status: Completed
Started: 2008
Completed: 2010
Functions: residential
Rank: 216

*** The Latitude Tower 6 ***
Height: 167.03
Floors: 48
Status: Completed
Completed: 2010
Functions: residential
Rank: 218

*** The Latitude Tower 7 ***
Height: 167.03
Floors: 48
Status: Completed
Completed: 2010
Functions: residential
Rank: 218

*** The Latitude Tower 8 ***
Height: 167.03
Floors: 48
Status: Completed
Completed: 2010
Functions: residential
Rank: 218

*** The Latitude Tower 1 ***
Height: 167.03
Floors: 45
Status: Completed
Completed: 2010
Functions: residential
Rank: 221

*** The Latitude Tower 2 ***
Height: 167.03
Floors: 45
Status: Completed
Completed: 2010
Functions: residential
Rank: 221

*** Festival City II Tower 1 ***
Height: 167
Floors: 52
Status: Completed
Started: 2008
Completed: 2010
Functions: residential
Rank: 223

*** Festival City II Tower 2 ***
Height: 167
Floors: 52
Status: Completed
Started: 2008
Completed: 2010
Functions: residential
Rank: 223

*** Asia Pacific Finance Tower ***
Height: 166.73
Floors: 39
Status: Completed
Started: 1989
Completed: 1992
Functions: office
Rank: 225

*** Tierra Verde Tower 10-12 ***
Height: 166.65
Floors: 52
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 226

*** The Palazzo ***
Height: 166.15
Floors: 38
Status: Completed
Started: 2003
Completed: 2010
Functions: residential / retail
Rank: 227

*** Summit Terrace 2 ***
Height: 166
Floors: 46
Status: Completed
Completed: 2003
Functions: residential
Rank: 228

*** La Cite Noble Tower 3 ***
Height: 165.75
Floors: 49
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 229

*** Park Central 11 ***
Height: 165.15
Floors: 53
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 230

*** The Serenade Tower 1 ***
Height: 165.09
Floors: 52
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 231

*** The Serenade Tower 2 ***
Height: 165.09
Floors: 52
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 231

*** Residence Oasis 5 ***
Height: 165
Floors: 54
Status: Completed
Completed: 2005
Functions: residential
Rank: 233

*** Residence Oasis 6 ***
Height: 165
Floors: 54
Status: Completed
Completed: 2005
Functions: residential
Rank: 233

*** Residence Oasis 7 ***
Height: 165
Floors: 54
Status: Completed
Completed: 2005
Functions: residential
Rank: 233

*** Four Seasons Hotel Hong Kong ***
Height: 165
Floors: 42
Status: Completed
Started: 2002
Completed: 2005
Functions: hotel
Rank: 236

*** Lime Stardom ***
Height: 165
Floors: 37
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 237

*** Grand Hyatt Serviced Apartments ***
Height: 164.9
Floors: 46
Status: Completed
Completed: 1990
Functions: serviced apartments
Rank: 238

*** Sky Tower 1-2 ***
Height: 164.7
Floors: 52
Status: Completed
Started: 2002
Completed: 2004
Functions: residential
Rank: 239

*** Sky Tower 3-7 ***
Height: 164.7
Floors: 52
Status: Completed
Started: 2002
Completed: 2004
Functions: residential
Rank: 239

*** J.W. Marriott and The Upper House ***
Height: 164.5
Floors: 50
Status: Completed
Started: 1985
Completed: 1988
Functions: hotel
Rank: 241

*** The Gloucester ***
Height: 164.2
Floors: 41
Status: Completed
Started: 2010
Completed: 2013
Functions: residential
Rank: 242

*** Seaview Crescent 5 ***
Height: 164
Floors: 53
Status: Completed
Completed: 2003
Functions: residential
Rank: 243

*** Verbena Heights 3-6 ***
Height: 163.8
Floors: 52
Status: Completed
Completed: 1997
Functions: residential
Rank: 244

*** Monterey Cove 1 ***
Height: 163.63
Floors: 52
Status: Completed
Completed: 2003
Functions: residential
Rank: 245

*** Upton  ***
Height: 163.4
Floors: 43
Status: Completed
Started: 2012
Completed: 2015
Functions: residential
Rank: 246

*** One Pacific Heights ***
Height: 163.37
Floors: 39
Status: Completed
Completed: 2009
Functions: residential
Rank: 247

*** La Cite Noble Tower 1 ***
Height: 162.95
Floors: 48
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 248

*** La Cite Noble Tower 4 ***
Height: 162.95
Floors: 48
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 248

*** La Cite Noble Tower 6 ***
Height: 162.95
Floors: 48
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 248

*** Island Crest Tower 1 ***
Height: 162.76
Floors: 46
Status: Completed
Completed: 2009
Functions: residential
Rank: 251

*** Island Crest Tower 2 ***
Height: 162.76
Floors: 46
Status: Completed
Completed: 2009
Functions: residential
Rank: 251

*** Park Central 10 ***
Height: 162.4
Floors: 52
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 253

*** Park Central 7 ***
Height: 162.4
Floors: 52
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 253

*** Park Central 8 ***
Height: 162.4
Floors: 52
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 253

*** Park Central 9 ***
Height: 162.4
Floors: 52
Status: Completed
Started: 1999
Completed: 2002
Functions: residential
Rank: 253

*** Banyan Garden 1 ***
Height: 162.4
Floors: 47
Status: Completed
Started: 2001
Completed: 2003
Functions: residential
Rank: 257

*** Banyan Garden 8 ***
Height: 162.4
Floors: 47
Status: Completed
Started: 2001
Completed: 2003
Functions: residential
Rank: 257

*** 118 Connaught Road West ***
Height: 162
Floors: 40
Status: Completed
Completed: 1994
Functions: office
Rank: 259

*** One Pacific Place ***
Height: 161.8
Floors: 40
Status: Completed
Started: 1985
Completed: 1988
Functions: office
Rank: 260

*** Seaview Crescent 1-3 ***
Height: 161
Floors: 52
Status: Completed
Completed: 2003
Functions: residential
Rank: 261

*** Coastal Skyline 1-3,5-6, Tung Chung ***
Height: 161
Floors: 50
Status: Completed
Completed: 2002
Functions: residential
Rank: 262

*** Coastal Skyline 7-8, Tung Chung ***
Height: 161
Floors: 50
Status: Completed
Completed: 2004
Functions: residential
Rank: 262

*** Les Saisons ***
Height: 160.13
Floors: 50
Status: Completed
Completed: 2002
Functions: residential
Rank: 264

*** Metropolis 1 ***
Height: 160.1
Floors: 50
Status: Completed
Completed: 2005
Functions: residential
Rank: 265

*** Metropolis 2 ***
Height: 160.1
Floors: 50
Status: Completed
Completed: 2005
Functions: residential
Rank: 265

*** Metropolis 3 ***
Height: 160.1
Floors: 50
Status: Completed
Completed: 2005
Functions: residential
Rank: 265

*** Metropolis 5 ***
Height: 160.1
Floors: 50
Status: Completed
Completed: 2005
Functions: residential
Rank: 265

*** Belcher's Hill ***
Height: 160
Floors: 49
Status: Completed
Started: 2008
Completed: 2011
Functions: residential
Rank: 269

*** City Point Tower 1 ***
Height: 160
Floors: 48
Status: Completed
Started: 2011
Completed: 2015
Functions: residential
Rank: 270

*** City Point Tower 2 ***
Height: 160
Floors: 48
Status: Completed
Started: 2011
Completed: 2015
Functions: residential
Rank: 270

*** City Point Tower 3 ***
Height: 160
Floors: 48
Status: Completed
Started: 2011
Completed: 2015
Functions: residential
Rank: 270

*** Island Lodge ***
Height: 160
Floors: 45
Status: Completed
Started: 2007
Completed: 2009
Functions: residential
Rank: 273

*** One Peking Road ***
Height: 159.98
Floors: 30
Status: Completed
Started: 2000
Completed: 2003
Functions: office
Rank: 274

*** One Wanchai ***
Height: 159.7
Floors: 42
Status: Completed
Started: 2010
Completed: 2012
Functions: residential
Rank: 275

*** The Landmark Gloucester Tower ***
Height: 159.39
Floors: 46
Status: Completed
Completed: 1980
Functions: office
Rank: 276

*** The Landmark Edinburgh Tower ***
Height: 159.39
Floors: 45
Status: Completed
Completed: 1983
Functions: hotel / office
Rank: 277

*** Dynasty Court Tower 1-2 ***
Height: 159.03
Floors: 47
Status: Completed
Completed: 1991
Functions: residential
Rank: 278

*** Cambridge House ***
Height: 159
Floors: 36
Status: Completed
Started: 2001
Completed: 2003
Functions: office
Rank: 279

*** Galaxia Tower 2 ***
Height: 158.25
Floors: 52
Status: Completed
Completed: 1998
Functions: residential
Rank: 280

*** Galaxia Tower 3 ***
Height: 158.25
Floors: 52
Status: Completed
Completed: 1998
Functions: residential
Rank: 280

*** Galaxia Tower 5 ***
Height: 158.25
Floors: 52
Status: Completed
Completed: 1998
Functions: residential
Rank: 280

*** 148 Electric Road ***
Height: 158
Floors: 41
Status: Completed
Completed: 2001
Functions: office
Rank: 283

*** SOHO 189 ***
Height: 157.89
Status: Completed
Completed: 2012
Functions: residential
Rank: 284

*** Century Gateway 1 ***
Height: 157.65
Floors: 44
Status: Completed
Started: 2007
Completed: 2014
Functions: residential
Rank: 285

*** La Cite Noble Tower 2 ***
Height: 157.35
Floors: 46
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 286

*** La Cite Noble Tower 5 ***
Height: 157.35
Floors: 46
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 286

*** The Forest Hills ***
Height: 157.28
Floors: 48
Status: Completed
Completed: 2008
Functions: residential
Rank: 288

*** Century Gateway 5 ***
Height: 157.28
Floors: 43
Status: Completed
Started: 2007
Completed: 2014
Functions: residential
Rank: 289

*** Park Towers One ***
Height: 157.12
Floors: 51
Status: Completed
Completed: 1989
Functions: residential
Rank: 290

*** City Point Tower 5 ***
Height: 157
Floors: 47
Status: Completed
Started: 2011
Completed: 2015
Functions: residential
Rank: 291

*** City Point Tower 6 ***
Height: 157
Floors: 47
Status: Completed
Started: 2011
Completed: 2015
Functions: residential
Rank: 291

*** Summit Terrace 1 ***
Height: 157
Floors: 43
Status: Completed
Completed: 2003
Functions: residential
Rank: 293

*** Le Sommet ***
Height: 156.8
Floors: 50
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 294

*** Ellery Terrace, Kowloon ***
Height: 156.48
Floors: 45
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 295

*** Liberte 7 ***
Height: 156.4
Floors: 44
Status: Completed
Completed: 2003
Functions: residential
Rank: 296

*** China Merchants Tower ***
Height: 156
Floors: 38
Status: Completed
Started: 1983
Completed: 1985
Functions: office
Rank: 297

*** Shun Tak Centre West ***
Height: 156
Floors: 38
Status: Completed
Started: 1983
Completed: 1985
Functions: office
Rank: 297

*** Sunlight Tower ***
Height: 155.94
Floors: 40
Status: Completed
Completed: 1999
Functions: office
Rank: 299

*** Park Avenue Towers 6-10 ***
Height: 155.6
Floors: 51
Status: Completed
Completed: 2000
Functions: residential
Rank: 300

*** Galaxia Tower 1 ***
Height: 155.25
Floors: 51
Status: Completed
Completed: 1998
Functions: residential
Rank: 301

*** Galaxia Tower 6 ***
Height: 155.25
Floors: 51
Status: Completed
Completed: 1998
Functions: residential
Rank: 301

*** Henley Building ***
Height: 155.11
Floors: 36
Status: Completed
Started: 1995
Completed: 1998
Functions: office
Rank: 303

*** Bank of Communications Tower ***
Height: 155
Floors: 33
Status: Completed
Started: 1995
Completed: 1996
Functions: office
Rank: 304

*** Imperial Court Block C ***
Height: 154.53
Floors: 52
Status: Completed
Completed: 1996
Functions: residential
Rank: 305

*** Li Po Chun Chambers ***
Height: 154.35
Floors: 31
Status: Completed
Completed: 1995
Functions: office
Rank: 306

*** Metro City I Tower 3 ***
Height: 153.9
Floors: 43
Status: Completed
Completed: 1996
Functions: residential
Rank: 307

*** Metro City I Tower 4 ***
Height: 153.9
Floors: 43
Status: Completed
Completed: 1996
Functions: residential
Rank: 307

*** Metro City I Tower 5 ***
Height: 153.9
Floors: 43
Status: Completed
Completed: 1996
Functions: residential
Rank: 307

*** Metro City I Tower 6 ***
Height: 153.9
Floors: 43
Status: Completed
Completed: 1996
Functions: residential
Rank: 307

*** Metro City I Tower 1 ***
Height: 153.9
Floors: 42
Status: Completed
Completed: 1996
Functions: residential
Rank: 311

*** Metro City I Tower 2 ***
Height: 153.9
Floors: 42
Status: Completed
Completed: 1996
Functions: residential
Rank: 311

*** The Panorama ***
Height: 153.7
Floors: 52
Status: Completed
Started: 1998
Completed: 1999
Functions: residential
Rank: 313

*** Liberte 8 ***
Height: 153.43
Floors: 43
Status: Completed
Completed: 2003
Functions: residential
Rank: 314

*** Century Gateway 2 ***
Height: 153.01
Floors: 39
Status: Completed
Started: 2007
Completed: 2014
Functions: residential
Rank: 315

*** The Zenith 1 ***
Height: 152.7
Floors: 47
Status: Completed
Completed: 2007
Functions: residential
Rank: 316

*** Robinson Place Tower A ***
Height: 152.68
Floors: 48
Status: Completed
Completed: 1994
Functions: residential
Rank: 317

*** York Place ***
Height: 152.47
Floors: 40
Status: Completed
Completed: 2009
Functions: residential
Rank: 318

*** Bayshore Apartments ***
Height: 152.4
Floors: 38
Status: Completed
Started: 1999
Completed: 2001
Functions: residential
Rank: 319

*** Thorn Cliff ***
Height: 152.08
Floors: 46
Status: Completed
Started: 1979
Completed: 1982
Functions: residential
Rank: 320

*** World Trade Centre ***
Height: 151.87
Floors: 40
Status: Completed
Completed: 1975
Functions: office / retail
Rank: 321

*** Nan Fung Plaza 1 ***
Height: 151.48
Floors: 49
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 322

*** Nan Fung Plaza 2 ***
Height: 151.48
Floors: 49
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 322

*** New World Tower 1 ***
Height: 151.46
Floors: 43
Status: Completed
Started: 1977
Completed: 1980
Functions: office
Rank: 324

*** Century Gateway 6 ***
Height: 151.18
Floors: 41
Status: Completed
Started: 2007
Completed: 2014
Functions: residential
