*** Chicago (1107) ***
313. Michigan Plaza North, 102m
314. 990 North Lake Shore Drive, 102m
315. Transunion Building, 102m
316. 1212 North Lake Shore Drive, 102m
317. 2500 North Lakeview, 102m
318. 55 East Jackson, 102m
319. Arkes Family Pavilion, 101m
320. Inland Steel Building, 101m
321. Concord City Centre, 101m
322. Gold Coast Galleria, 101m
323. 525 West Monroe Street, 101m
324. ADA Building, 101m
325. Museum Park Place 2, 100m
326. South Shore Beach Apartments, 100m
327. 840 North Lake Shore Drive, 100m
328. Michigan Terrace Condominiums, 100m
329. 1240 North Lake Shore Drive, 100m
330. 530 North Lake Shore Drive, 100m
331. 500 North Michigan Avenue, 99m
332. The Breakers at Edgewater Beach, 99m
333. 101 North Wacker, 99m
334. Apparel Center, 99m
335. Old Republic Building, 99m
336. The Lancaster, 99m
337. Vetro, 99m
338. Harris Bank Addition I, 98m
339. Americana Towers, 98m
340. 1212 South Michigan, 98m
341. River View I, 98m
342. 1133 North Dearborn, 98m
343. The Cooper, 98m
344. Westin Michigan Avenue, 98m
345. Gateway Center IV, 98m
346. 1 North Dearborn, 98m
347. LondonHouse Chicago, 97m
348. Courtyard Chicago Magnificent Mile, 97m
349. 100 Bellevue Place, 96m
350. 2 North LaSalle Street, 96m
351. Prentice Women's Hospital, 96m
352. The Parker, 96m
353. 100 West Chestnut, 96m
354. 1000 South Clark, 96m
355. Michigan Avenue Tower I, 96m
356. McCormick Building, 96m
357. Burnham Pointe, 96m
358. 777 South State, 95m
359. 550 St. Clair, 95m
360. Hilton Suites Chicago, 95m
361. theWit Hotel, 95m
362. Michigan Avenue Tower II, 95m
363. Hilton Homewood Suites and Wabash Suites Hotel, 95m
364. EnV, 94m
365. James R. Thompson Center, 94m
366. Landmark West Loop, 94m
367. 65 East Wacker Place, 94m
368. Socony-Vacuum Building, 93m
369. SoNo West Tower, 93m
370. 625 West Adams, 93m
371. Hyatt Centric The Loop Chicago, 93m
372. 1136-1140 South Wabash Avenue, 92m
373. The National, 92m
374. Riverside Plaza, 92m
375. 120 South LaSalle, 92m
376. 231 South LaSalle , 92m
377. Michigan Avenue Lofts, 92m
378. People's Gas Building, 92m
379. 1111 North Dearborn, 92m
380. Kingsbury on the Park, 92m
381. Lake-Michigan Building, 92m
382. Loop Center Building, 92m
383. 4 East Elm Street, 92m
384. Virgin Hotels Chicago, 91m
385. Cambria Hotel Chicago Loop Theatre District, 91m
386. Burnham Center, 91m
387. Michigan Boulevard Building, 91m
388. NEXT, 91m
389. Gr333N, 91m
390. Astor Tower, 91m
391. W Hotel Chicago Lakeshore, 91m
392. River North Marriott Suites, 91m
393. Feinberg Pavillion, 91m
394. Bel Harbour, 91m
395. 1600 East 53rd Street, 90m
396. Lawyers Building, 90m
397. Noble Square Co-op, 90m
398. North American Building, 90m
399. Harris Bank Building, 90m
400. Garland Building, 90m
401. Wrigley Building North Addition, 90m
402. 3Eleven, 89m
403. 8 East Huron, 89m
404. Marquee Michigan Avenue, 89m
405. Erie on the Park, 89m
406. 1418 North Lake Shore Drive, 89m
407. Randolph-Wells Building, 89m
408. Consumers Building, 89m
409. Renaissance Blackstone, 88m
410. Astor House, 88m
411. MDA City Apartments, 88m
412. One Triple Three, 88m
413. Museum Pointe, 88m
414. Metropolitan Correctional Center, 88m
415. 5000 East End Building, 88m
416. 208 South LaSalle Street, 87m
417. Solstice on the Park, 87m
418. Renaissance Chicago Downtown Hotel, 87m
419. Lake Vista Apartments North, 87m
420. Mallers Building, 87m
421. Eight Eleven Uptown, 87m
422. 525 Hawthorne, 87m
423. CDW Plaza, 87m
424. Transportation Building, 87m
425. Horizon House, 87m
426. Majestic Building, 86m
427. 29 East Madison Street, 86m
428. 200 West Monroe, 85m
429. 640 North Wells Street, 85m
430. Museum Park Tower I, 85m
431. Metropolitan Block, 85m
432. Ward Memorial Building, 85m
433. Lake Park Plaza, 85m
434. Cornell Village, 84m
435. River Place on the Park, 84m
436. 22 West Washington, 84m
437. 3150 North Sheridan, 84m
438. Chicago Board of Trade Addition, 84m
439. Fisher Building, 84m
440. Loyola University Tower, 84m
441. Chicago Athletic Association Annex, 84m
442. The Newport North Tower, 84m
443. The Newport South Tower, 84m
444. Borg-Warner Building, 84m
445. Macy's at State Street, 83m
446. Quadrangle House, 83m
447. Jones , 83m
448. The Bernardin, 83m
449. Admiral's Point, 83m
450. State of Illinois Building, 83m
451. Prairie Pointe, 83m
452. Hollywood Towers North, 82m
453. Hollywood Towers South, 82m
454. 860 North Lake Shore Drive, 82m
455. 880 North Lake Shore Drive, 82m
456. The Powhatan, 82m
457. 734 North Milwaukee, 81m
458. 14 East Jackson Boulevard, 81m
459. Criminal Courts Administration Building, 81m
460. Rehabilitation Institute of Chicago, 80m
461. 1401 South State , 80m
462. Pearson on the Park, 80m
463. Century Building, 80m
464. The Hudson, 80m
465. Hubbard 221, 80m
466. Palmer House, 80m
467. Hermitage on Huron, 80m
468. Esplanade Apartments I, 79m
469. Esplanade Apartments II, 79m
470. Harper Square Cooperative - North Tower, 79m
471. Harper Square Cooperative - South Tower, 79m
472. Hilton Garden Inn Chicago Downtown/Magnificent Mile, 79m
473. Santa Fe Building, 79m
474. Museum Park Place 1, 79m
475. 899 South Plymouth Court, 79m
476. Lake Village East, 79m
477. 55 West Wacker, 78m
478. 1410 North State Parkway, 78m
479. AMLI 900, 78m
480. 2101 South Michigan, 78m
481. 205 West Wacker, 78m
482. Barclay Condominiums, 78m
483. Cambridge Manor, 78m
484. Hilton Garden Inn Chicago North Loop, 77m
485. Wolberg Hall, 77m
486. Commonwealth Promenade I, 77m
487. Commonwealth Promenade II, 77m
488. Rush University Medical Center Hospital Tower, 77m
489. Hampton Inn / Homewood Suites Chicago Downtown West Loop, 77m
490. Narragansett Apartments, 77m
491. 123 East Cermak, 76m
492. Westin River North, 76m
493. Hotel EMC2, 75m

******************** DETAILS ********************

*** Chicago ***
Country: United States
Region: North America
