*** London (366) ***
204 towers: The Shard, Twentytwo, One Canada Square, Landmark Pinnacle, Salesforce Tower, The Leadenhall Building, Newfoundland, Valiant Tower, One Park Drive, 25 Canada Square, 8 Canada Square, City Tower, The Scalpel, Wardian East Tower, Tower 42, The Madison, The Tower, One St George Wharf, 30 St Mary Axe, 100 Bishopsgate, AYKON London One, Wardian West Tower, One Blackfriars, Principal Tower , The Broadgate Tower, 20 Fenchurch Street, River Tower, One Churchill Place, 25 Bank Street, 40 Bank Street, 10 Upper Bank Street, South Bank Tower, Carrara Tower, Arena Tower, 10 Park Drive, Castilla, Guy's Tower, Pan Peninsula East Tower, Strata, 1 Bank Street, Harbour Central-Maine Tower, Manhattan Loft Gardens, Imperial West Tower, Landmark East Tower, Providence Tower, Pan Pacific Hotel, 101 George Street, Atlas, Pinnacle Apartments, Stratford Halo, Keybridge Lofts, Valencia Tower, The GRID Building, CityPoint, The Stage, Nine Elms Point, Albert Point, Two Fifty One, Harbour Central-Block C, The Willis Building, Euston Tower, One Crown Place South, One The Elephant, Cromwell Tower, Lauderdale Tower, Shakespeare Tower, Chelsea Waterfront-West Tower, One Casson Square, Pan Peninsula West Tower, Vauxhall Sky Gardens, Novotel Canary Wharf, Millbank Tower, 25 Churchill Place, Aviva Tower, Centre Point, Stratosphere Tower, Chronicle Tower, East Village Site N08 Tower 2, The Heron, Chapter London Spitalfields, Capital Towers-Sky View Tower, Dollar Bay, No. 1 West India Quay, Shell Centre, One Crown Place North, Ontario Tower, 30 Casson Square, 33 Canada Square, Shoreditch Highgate Hotel, Pioneer Point Tower 2, 99 Bishopsgate, 125 Old Broad Street, Stratford Central-Legacy Tower, Empress State Building, Upper Riverside-Building 5, West End Gate-Tower A, West Grove-The Highwood, Woodberry Down-Skyline, Portland House, The London Hilton on Park Lane, Angel Court, 4 Casson Square, East Village Site N08 Tower 1, Trellick Tower, The Atlas, Shard Place, Upper Riverside-Building 4, Canaletto, The Waterman, The Dumont, Ropemaker, Cassia Point, The Lloyd's Building, Lincoln Plaza-Franklin Tower, Landmark West Tower, Vauxhall Square-Miles Street South, Harbour Central-Block A, Upper Riverside-Building 3, Knightsbridge Barracks, Holiday Inn Kensington Forum, Stratford Plaza, Kew Eye, 206-214 High Street, Conquest Tower, 20 Gracechurch, London Hilton Metropole, Duncan House, Lombard Wharf, 200 Aldersgate Street, 70 St. Mary Axe, Stratford Riverside, Nine Elms Point, Doulton Point, Harbour Central-Block B2, 11 Mapleton Crescent, International Quarter Site S5, City Island-Caledonia House, Ontario Point, Arora Tower, Nova Victoria-South, The Royal London Hospital, 240 Blackfriars Road, Hawfinch House, Merano Residences, Chelsea Waterfront East Tower, The Corniche, Building 2, London Television Centre, Balfron Tower, Altitude Aldgate, Unite Stratford One, The Liberty Building, Apex House, NEO Bankside Building C, One Croydon, Athena Court, Distillery Tower, The Eagle, The Triton Building, Pioneer Point Tower 1, Streamlight Tower, Marlin Apartments, Aldgate Place, Central Tower, 30 Crown Place, Moor House, Lewisham Gateway-Portrait, One Creechurch Place, Tolworth Tower, Horizons, Urbanest King's Cross, Two Southbank Place, The Lighterman, Peregrine House, Woodberry Down-Residence, Wembley Point, 6-8 Bishopsgate, St. George's House, Upper Riverside-Building 2, One Commercial Street, Aldgate Place, Gateway Tower, Blackwall Reach-Plot H, Aldgate Tower, Whitgift Centre-Centre Tower, Copperas Street Development, Aberfield Estate-Maydew House, Pepy's Estate-Daubeney Tower, Pepy's Estate-Eddystone Tower, Sienna Alto, The News Building, Chelsea Creek-The Tower, University College London Hospital, Marner Point, Grampian House, Mendip House, Pennine House, Elektron Tower, The Corniche, Building 1, Elephant 1 Block A, Apex Tower, City Island-Dawsonne House, Goodman's Fields-Tower 7, Rothschild Bank Headquarters, White Collar Factory, Nightingale Heights, City Island-Bridgwater House, One Tower Bridge Building D, Vermilion, Charing Cross Hospital, Main Building
Tiers: I: 122, II: 51, III: 23, IV: 7, V: 1
Rating: 366 (33.9% uncompleted)
Scraped on: 2019-Jan-20 16:05:16

*** The Shard ***
Height: 306
Floors: 73
Status: Completed
Started: 2009
