*** Sydney (505) ***
1.   Crown Sydney Hotel and Resort, 271m
275 towers: Crown Sydney Hotel and Resort, Circular Quay Tower, Chifley Tower, Citigroup Centre, Deutsche Bank Place, Sydney Greenland Centre, World Tower, MLC Centre, Governor Phillip Tower, Ernst & Young Tower at Latitude, Aurora Place, International Towers Sydney Tower 1, Quay Quarter Tower, Suncorp Place, ANZ Tower, Century Tower, Grosvenor Place, International Towers Sydney Tower 2, Castlereagh Centre, Meriton Tower, Australia Square Tower, Metro Grand Residences, International Towers Sydney Tower 3, The Peak, 1 O`Connell Street, Westpac Place, 201 Elizabeth Street, Gateway Plaza, HSBC Centre, 1 Denison Street, The Cove, Hordern Towers, The EY Centre, Metro Spire Residences, Angel Place, Sydney Central, Lumiere, 100 Mount Street, The Landmark, 85 Castlereagh Street,  Eighty-Eight by JQZ Tower 1, Colonial State Bank, Governor MacQuarie Tower, Commsec Tower, Horizon Apartments, Rhodes Central Tower A, Quay West Apartments, Swissotel Sydney, 8 Chifley, Quest World Square Apartments, Telstra Plaza, Elan Apartments, 60 Martin Place, 1 Bligh Street, Bankers Trust Tower, Rialto Tower, 420 George Street, Park Regis City Centre, Era, Darling North, Darling One, Victoria Towers, York & George, Wynyard Place, Met Centre, St Leonards Square (The Jackson), St Martins Tower, Sofitel Sydney Darling Harbour, Civic Tower, British Telecom Building, Hilton Sydney, Northpoint Tower, IAG house, Sydney Harbour Marriott Hotel, Inmark Tower, Aon Center, Shangri-La Hotel, Bligh Chambers, 255 George Street, KPMG Centre, Centrium Tower One, Commonwealth Bank of Australia Tower, Price Waterhouse Coopers Tower, Boomerang Tower, 177 Pacific Highway, Amora Jamison Hotel, One30 Hyde Park, National Mutual Centre, Stockland Centre, Castle Residences, University of Technology Building, Observatory Tower, Pavilions, 1 Martin Place, The Hyde, Optus Plaza, Princeton Apartments, 175 Liverpool Street, The Forum I, 135 on King, Macquarie Bank, Opal Tower, One Central Park, Norwich House, Miramar Apartments, Polding Centre, Berry Square, Fraser Suites, 33 Alfred Street, Law Courts Building, 118 Mount Street, AWA Building, Innovation Place, Four Seasons Hotel, Yuhu Hotel, Citadel Tower 1, Meriton Capitol, Roden Cutler House, Defence Plaza, Museum Towers, Centrium Tower Two, Metro View Residences, One Australia Avenue, 230-234 Sussex Street, BNP Paribas Centre, The Summit, Connaught Centre, Westfield Towers, 161 Sussex Street Redevelopment, 321 Kent Street, Regis Towers (Castlereagh), Royal Exchange Building, SkyHaus North Tower, Hotel Intercontinental, Highgate Apartments, 1 Oxford Street, 59 Goulburn Street, Emirates House, Town Hall House, Telstra House, State Street Centre, Energy Australia, Westfield Tower Two, Telstra Kent Exchange, Embassy Tower, St Leonards Square (The William), 141 Walker Street, 80 Arthur Street, Astoria Tower, Cassia Gardens, Epica, Harbour Place, 68 Pitt Street, Ovo, Zenith Apartments, Regis Apartments (Pitt Tower), SkyHaus South tower, Quay Apartments, City Centre, Hooker House, Novell House, Symantec House, Air Apartments, Rhodes Central Tower B, John Madison tower, Zenith Tower 1, Zenith Tower 2, McKell Building, Matavai Apartments, Turanga Apartments, VSQ North, Darling Park Tower III, King and Phillip Residences, Ryde Garden Building B, Radisson Hotel and Suites, Central Square, Hyde Park Towers, Ranelagh Apartments, Standard Chartered House, Travelex Building, John Fairfax Building, Medina Classic, GM Tower, Stamford on Kent, The Mark, Adina Grand Hotel, Maestri Towers, Marina Square Tower A, Wentworth Point, Meriton Bondi Junction East Tower, The Ribbon Hotel and Residences, 100 Pacific Highway, ING Centre, Hyde Park Residences, Commonwealth Bank Building, Regis Apartments (Campbell Street Tower), Stamford Residences, The Georgia, 519 Kent Street, Stamford Marque, ARC by Crown Group, CML Building, 20 Martin Place, 60 Carrington Street, 112 Talavera Road, Building A, The Pinnacle Tower B, Liverpool, Mosaic, York Apartments, Skyline, St Leon, Arthur Young Building, The Regency Tower A, Polaris, Harbour Court, Ocean Court , Mantra on Kent, The Sebel Residence, Forum West, Hyde Park Regency, Trafalgar Apartments, 55 Hunter Street, Taiga, Latitude on Lavender, Marriott Hotel, The Pinnacle, Sydney, Zen at Wentworth Point, The Cambridge, 77 King Street, Hunter Connection, Royal and Sun Alliance, Reserve Bank Building, 383 Kent Street, Australia Towers II, 80 Bathurst Street, Vista 881, The Bentleigh, Belvedere, St James Centre, Blues Point Tower Apartments, Sydney Boulevard Hotel, Allianz Centre, Barrack Place, 5 Martin Place, Ryde Garden Building A, Ark, Burwood Grand Tower B, Rex House, Australia Towers I, Windsor on Kent, 229 on Elizabeth Street, Fujitsu, Powertel Building, Adina Apartments, Sirius Wentworth Point, VQ Harbour Views, 187 Macquarie Street, The Chelsea, Sheraton on the Park, Waldorf Apartments, Pitt Telephone Exchange, AAMI Centre, Arise, Pavillions Building 5, Aura Tower 1, The Retreat Tower 2, Atmosphere (Tower 1), Altura, Vantage North, Vantage South, Holmsdale Tower, Skyview,  Phoenix Tower, Skyview, Hydra Tower, One Twenty Macquarie, The Pinnacle Tower A, Liverpool, Novotel Sydney Olympic Park, Lumley House
Tiers: I: 151, II: 84, III: 27, IV: 13
Rating: 505 (15.2% uncompleted)
Scraped on: 2019-Jan-20 16:05:17

*** Crown Sydney Hotel and Resort ***
Height: 271.3
Floors: 75
Status: Under Construction
Started: 2016
Completed: 2021
Functions: residential / hotel / casino
Rank: 1

*** Circular Quay Tower ***
Height: 263
Floors: 55
Status: Under Construction
Started: 2019
Completed: 2021
Functions: office
Rank: 2

*** Chifley Tower ***
Height: 244
Floors: 50
Status: Completed
Started: 1988
Completed: 1992
Functions: office
Rank: 3

*** Citigroup Centre ***
Height: 243
Floors: 50
Status: Completed
Started: 1998
Completed: 2000
Functions: office
Rank: 4

*** Deutsche Bank Place ***
Height: 240
Floors: 39
Status: Completed
Started: 2003
Completed: 2005
