*** Nanning (663) ***
1.   Skyfame Center Landmark Tower, 420m
*** Huafa Guobin One 12# ***
Height: 96.8
Floors: 31
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 248

*** Huafa Guobin One 14#  ***
Height: 96.8
Floors: 31
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 248

*** Huafa Guobin One 15#  ***
Height: 96.8
Floors: 31
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 248

*** Huafa Guobin One 17# ***
Height: 96.8
Floors: 31
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 248

*** Huafa Guobin One 4# ***
Height: 96.8
Floors: 31
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 248

*** Huafa Guobin One 9# ***
Height: 96.8
Floors: 31
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 248

*** Huarun Jiacheng Five Elephants #1 ***
Height: 96.7
Floors: 32
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 255

*** Rong and Banyan Mountain #15 ***
Height: 95.85
Floors: 19
Status: Under Construction
Started: 2018
Completed: 2020
Functions: office
Rank: 256

*** Xianggang Jie #1-1 ***
Height: 95.65
Floors: 28
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 257

*** Xianggang Jie #1-2 ***
Height: 95.65
Floors: 28
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 257

*** Yuda Group Headquarters Serviced Apartments ***
Height: 94
Floors: 24
Status: Completed
Started: 2015
Completed: 2018
Functions: serviced apartments
Rank: 259

*** Huafa Guobin One 5# ***
Height: 93.8
Floors: 30
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 260

*** Longguang Royal Lake Sunshine 24 ***
Height: 93.15
Floors: 28
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 261

*** Longguang Royal Lake Sunshine 26 ***
Height: 93.15
Floors: 28
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 261

*** Ming Huang Island International Business Plaza ***
Height: 92.8
Floors: 30
Status: Completed
Started: 2014
Completed: 2016
Functions: hospital
Rank: 263

*** Longgang Tang Fruit #6 ***
Height: 92.1
Floors: 29
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 264

*** Tsingtao Haier Union Square Tower 4 ***
Height: 91.25
Floors: 22
Status: Under Construction
Started: 2013
Functions: hotel
Rank: 265

*** Longguang Royal Lake Sunshine 20 ***
Height: 89.95
Floors: 27
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 266

*** Longguang Royal Lake Sunshine 23 ***
Height: 89.95
Floors: 27
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 266

*** Longguang Royal Lake Sunshine 32 ***
Height: 89.95
Floors: 27
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential
Rank: 266

*** Longguang Royal Lake Sunshine 33 ***
Height: 89.95
Floors: 27
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential
Rank: 266

*** Longgang Tang Fruit #9 ***
Height: 89.9
Floors: 29
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 270

*** Silver Spring Yitian #6 ***
Height: 89.2
Floors: 29
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 271

*** Goldfield Blue Bay #21-1,2 ***
Height: 89.15
Floors: 31
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 272

*** Huafa Guobin One 1# ***
Height: 88.2
Floors: 28
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 273

*** Huafa Guobin One 2#  ***
Height: 88.2
Floors: 28
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 273

*** Huafa Guobin One 3#  ***
Height: 88.2
Floors: 28
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 273

*** Huafa Guobin One 6# ***
Height: 88.2
Floors: 28
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 273

*** Athens International ***
Height: 88.2
Floors: 21
Status: Completed
Started: 2015
Completed: 2017
Functions: office
Rank: 277

*** Cloud Star - Qian Long World 1# ***
Height: 87
Floors: 28
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 278

*** Cloud Star - Qian Long World 2# ***
Height: 87
Floors: 28
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 278

*** Huafa Guobin One 20# ***
Height: 85.2
Floors: 27
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 280

*** Huafa Guobin One 21# ***
Height: 85.2
Floors: 27
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 280

*** Rong and Banyan Mountain #7 ***
Height: 84
Floors: 21
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 282

*** Longguang Royal Lake Sunshine 27 ***
Height: 80.25
Floors: 25
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 283

*** Longguang Royal Lake Sunshine 30 ***
Height: 80.25
Floors: 25
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 283

*** Jinyuan City Five 5# ***
Height: 80
Floors: 26
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 285

*** Longguang Royal Lake Sunshine 5 ***
Height: 79.95
Floors: 25
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 286

*** Longguang Royal Lake Sunshine 8 ***
Height: 79.95
Floors: 25
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 286

*** Longgang Tang Fruit #5 ***
Height: 79.2
Floors: 25
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 288

*** Longguang Royal Lake Sunshine 1 ***
Height: 79.09
Floors: 24
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 289

*** Rong and Banyan Mountain #2B ***
Height: 78.7
Floors: 25
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 290

*** Rong and Banyan Mountain #3B ***
Height: 78.7
Floors: 25
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 290

*** Longgang Tang Fruit #1 ***
Height: 78
Floors: 24
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 292

*** Longguang Royal Lake Sunshine 4 ***
Height: 77.59
Floors: 24
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 293

*** Country Garden Tianzhu Bay 14 ***
Height: 77.3
Floors: 25
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 294
