*** Nanning (663) ***
1.   Skyfame Center Landmark Tower, 420m
294 towers: Skyfame Center Landmark Tower, Guangxi China Resources Tower, Nanning Logan Century 1, Guangxi Financial Investment Center, Guangxi Finance Plaza, Jiuzhou International Tower, Guangxi Wealth Financial Center, Logan International Headquarters Tower 1, Diwang International Commerce Center, Hangyang Sino Plaza 1, Hangyang Sino Plaza 3, Sankee Plaza, KWG International Plaza, Hangyang Sino Plaza 2, Liyuan Skyline City, Tsingtao Haier Union Square Tower 1, Park Lane Manor 5, Park Lane Manor 6, Science and Technology Park Headquarters C3, Nanhu Mingdu Plaza, Qingxiu Wanda Mansion 1, Qingxiu Wanda Mansion 4, Yuda Group Headquarters Tower 1, Greenland Center Tower 8, Triumph One #1, Triumph One #2, Triumph One #3, Triumph One #4, Qingxiu Wanda Plaza Office Tower 1, Qingxiu Wanda Plaza Office Tower 2, Qingxiu Wanda Plaza Office Tower 3, Qingxiu Wanda Mansion 2, Logan International Headquarters Tower 2, Nanning Logan Century 2, Xianggang Jie #5-1, Xianggang Jie #5-2, Vanke City South Area #17, Guangxi International Trade Center Main Tower, Nanning Taiping Financial Building, Vanke City South Area #18, Park Lane Manor 7, Park Lane Manor 8, Park Lane Manor 9, Nanning No. 2 Telecom Hinge Building, Park Lane Manor 1, Park Lane Manor 2, Park Lane Manor 3, Park Lane Manor 4, Vanke City South Area #15, Vanke City South Area #16, Huarun Jiacheng Five Elephants Office Building, Huarun Jiacheng Five Elephants #18, Huarun Jiacheng Five Elephants #26, Guangxi Water Conservancy Electric Industry Business Building, Huarun Jiacheng Five Elephants #13, Huarun Jiacheng Five Elephants #16, Huarun Jiacheng Five Elephants #21, Huarun Jiacheng Five Elephants #23, Vanke City South Area #22, Cartier Manor 2, Jinyuan City Five 1#, Jinyuan City Five 2# , Jinyuan City Five 3# , Jinyuan City Five 6#, Jinyuan City Five 7#  , Jinyuan City Five 8#  , Nanning International Tourism Center 3, Long Light Water Yue Longwan 10, Long Light Water Yue Longwan 11, Yuda Group Headquarters Tower 2, Vanke City South Area S3, Xianggang Jie #2, Xianggang Jie #3, Tsingtao Haier Union Square Tower 2, Jinyuan City Five 10# , Huarun Jiacheng Five Elephants #12, Huarun Jiacheng Five Elephants #17, Huarun Jiacheng Five Elephants #20, Huarun Jiacheng Five Elephants #25, Cartier Manor 1, Cartier Manor 3, Guangxi New Media Center, Li Hai · Asia International Lingfeng Block A, Li Hai · Asia International Lingfeng Block B, Vanke City South Area #21, Rong and Banyan Mountain #11, Rong and Banyan Mountain #16, Rong and Banyan Mountain #17, Rong and Banyan Mountain #18, Rong and Banyan Mountain #10, Rong and Banyan Mountain #20, Rong and Banyan Mountain #21, Vanke City South Area #11, Vanke City South Area #12, Huarun Jiacheng Five Elephants #5, Huarun Jiacheng Five Elephants #6, Vanke City South Area S2, Silver Spring Yitian #3, Vanke City North Area #1, Vanke City North Area #2, Vanke City North Area #3, Vanke City North Area #4, Vanke City North Area #15, Vanke City North Area #16, Vanke City North Area #8, Vanke City North Area #9, Rong and Banyan Mountain #6, Nanning Rong i Qijiang Yue House #2, Guangxi Electric Power Mansion, International Ocean City 3, Huarun Jiacheng Five Elephants #10, Huarun Jiacheng Five Elephants #9, Huarun Jiacheng Five Elephants #11, Huarun Jiacheng Five Elephants #15, Huarun Jiacheng Five Elephants #19, Huarun Jiacheng Five Elephants #22, Rong and Banyan Mountain #9, Rong and Banyan Mountain #8, International Ocean City 2, Rong and Banyan Mountain #19, Huarun Jiacheng Five Elephants #3, Huarun Jiacheng Five Elephants #7, Vanke City South Area #4, Vanke City South Area #5, Guang Investment Xin Environment A, Residential at Macau Street, Huarun Jiacheng Five Elephants #8, Nanning Rong i Qijiang Yue House #3, Water Resources Department, Vanke City North Area #25, Vanke City North Area #5, Vanke City South Area #20, Tsingtao Haier Union Square Tower 3, Golden One 2#, Golden One 3#, Golden One 5#, Golden One 6#, Golden One 10#, Golden One 7#, Golden One 8#, Golden One 9#, Vanke City South Area #13, Vanke City South Area #14, Vanke City South Area #19, Vanke City North Area #10, Vanke City North Area #11, Vanke City North Area #12, Vanke City North Area #13, Vanke City North Area #14, Vanke City North Area #17, Vanke City North Area #18, Vanke City North Area #19, Vanke City North Area #20, Vanke City North Area #23, Vanke City North Area #24, Silver Spring Yitian #2, Silver Spring Yitian #4, Longguang Royal Lake Sunshine 13, Longguang Royal Lake Sunshine 21, Vanke City South Area #9, Vanke City South Area #10, Guangxi Construction Building #1, Guangxi Construction Building #2, International Ocean City 1, International Ocean City 4, Greenland Center Tower 2, Greenland Center Tower 7, Longguang Royal Lake Sunshine 12, Longguang Royal Lake Sunshine 22, Sheng Tian Dong Jun Tower 24, Sheng Tian Dong Jun Tower 25, Sheng Tian Dong Jun Tower 26, Sheng Tian Dong Jun Tower 22, Sheng Tian Dong Jun Tower 23, Nanning Rong i Qijiang Yue House #1, Golden One 11#, Golden One 12#, Golden One 13#, Golden One 15#, Nanning International Tourism Center 2, Wanda Vista Nanning, Sheng Tian Dong Jun Tower 30, Sheng Tian Dong Jun Towers 31-32, Sheng Tian Dong Jun Towers 33-35, Sheng Tian Dong Jun Towers 36-37, Sheng Tian Dong Jun Towers 12-13, Longgang Tang Fruit #2, Longgang Tang Fruit #7, Sheng Tian Dong Jun Tower 21, Sheng Tian Dong Jun Towers 15-16, Sheng Tian Dong Jun Towers 17-18, Sheng Tian Dong Jun Towers 19-20, Sheng Tian Dong Jun Towers 8-9, Sheng Tian Dong Jun Towers 1-2, Sheng Tian Dong Jun Towers 3-5, Sheng Tian Dong Jun Towers 6-7, Huafa Guobin One 11#, Huafa Guobin One 13#, Huafa Guobin One 16#, Huafa Guobin One 18#, Huafa Guobin One 19#, Huafa Guobin One 7#, Huafa Guobin One 8#, Vanke City South Area #1, Vanke City South Area #2, Vanke City South Area #3, Vanke City South Area #6, Vanke City South Area #7, Vanke City South Area #8, Vanke City North Area #21, Longguang Royal Lake Sunshine 3, Haoyuefu 18#, Haoyuefu 6#, Haoyuefu 7#, Haoyuefu 8#, Guang Investment Xin Environment, Huarun Jiacheng Five Elephants #2, Longguang Royal Lake Sunshine 25, Longguang Royal Lake Sunshine 28, Longguang Royal Lake Sunshine 29, Longguang Royal Lake Sunshine 6, Longguang Royal Lake Sunshine 7, Rong and Banyan Mountain #12, Rong and Banyan Mountain #1B, Rong and Banyan Mountain #5A, Vanke City North Area #22, Haoyuefu 11#, Haoyuefu 16#, Haoyuefu 17#, Haoyuefu 3#, Haoyuefu 5#, Grand Gateway Huijin, Vanke City North Area #6, Longgang Tang Fruit #8, Haoyuefu 10#, Haoyuefu 9#, Longguang Royal Lake Sunshine 10, Longguang Royal Lake Sunshine 11, Longguang Royal Lake Sunshine 14, Longguang Royal Lake Sunshine 9, Vanke City North Area #7, Silver Spring Yitian #1, Longguang Royal Lake Sunshine 2, Longgang Tang Fruit #3, Guang Investment Xin Environment B, Guang Investment Xin Environment C, Silver Spring Yitian #5, Huafa Guobin One 10# , Huafa Guobin One 12#, Huafa Guobin One 14# , Huafa Guobin One 15# , Huafa Guobin One 17#, Huafa Guobin One 4#, Huafa Guobin One 9#, Huarun Jiacheng Five Elephants #1, Rong and Banyan Mountain #15, Xianggang Jie #1-1, Xianggang Jie #1-2, Yuda Group Headquarters Serviced Apartments, Huafa Guobin One 5#, Longguang Royal Lake Sunshine 24, Longguang Royal Lake Sunshine 26, Ming Huang Island International Business Plaza, Longgang Tang Fruit #6, Tsingtao Haier Union Square Tower 4, Longguang Royal Lake Sunshine 20, Longguang Royal Lake Sunshine 23, Longguang Royal Lake Sunshine 32, Longguang Royal Lake Sunshine 33, Longgang Tang Fruit #9, Silver Spring Yitian #6, Goldfield Blue Bay #21-1,2, Huafa Guobin One 1#, Huafa Guobin One 2# , Huafa Guobin One 3# , Huafa Guobin One 6#, Athens International, Cloud Star - Qian Long World 1#, Cloud Star - Qian Long World 2#, Huafa Guobin One 20#, Huafa Guobin One 21#, Rong and Banyan Mountain #7, Longguang Royal Lake Sunshine 27, Longguang Royal Lake Sunshine 30, Jinyuan City Five 5#, Longguang Royal Lake Sunshine 5, Longguang Royal Lake Sunshine 8, Longgang Tang Fruit #5, Longguang Royal Lake Sunshine 1, Rong and Banyan Mountain #2B, Rong and Banyan Mountain #3B, Longgang Tang Fruit #1, Longguang Royal Lake Sunshine 4, Country Garden Tianzhu Bay 14
Tiers: I: 125, II: 98, III: 49, IV: 15, V: 7
Rating: 663 (30.5% uncompleted)
Scraped on: 2019-Jan-20 16:05:17

*** Skyfame Center Landmark Tower ***
Height: 420
Floors: 90
Status: Under Construction
Started: 2016
Completed: 2021
Functions: hotel / office
Rank: 1

*** Guangxi China Resources Tower ***
Height: 402.65
Floors: 85
Status: Architecturally Topped Out
Started: 2014
Completed: 2019
Functions: hotel / office
Rank: 2

*** Nanning Logan Century 1 ***
Height: 381.25
Floors: 82
Status: Completed
Started: 2013
Completed: 2018
Functions: hotel / office
Rank: 3

*** Guangxi Financial Investment Center ***
Height: 330
Floors: 70
Status: Under Construction
Started: 2017
Completed: 2021
Functions: hotel / office
Rank: 4

*** Guangxi Finance Plaza ***
Height: 321
Floors: 68
Status: Completed
Started: 2010
Completed: 2017
Functions: hotel / office
Rank: 5

*** Jiuzhou International Tower ***
Height: 318
Floors: 71
Status: Completed
Started: 2012
Completed: 2017
Functions: office
Rank: 6

*** Guangxi Wealth Financial Center ***
Height: 310.75
Floors: 70
Status: Architecturally Topped Out
Started: 2015
Completed: 2019
Functions: office
Rank: 7

*** Logan International Headquarters Tower 1 ***
Height: 278
Floors: 58
Status: Completed
Started: 2014
Completed: 2018
Functions: office
Rank: 8

*** Diwang International Commerce Center ***
Height: 276
Floors: 54
Status: Completed
Started: 2003
Completed: 2006
Functions: hotel / office
Rank: 9

*** Hangyang Sino Plaza 1 ***
Height: 231.7
Floors: 53
Status: Completed
Started: 2014
Completed: 2018
Functions: office / retail
Rank: 10

*** Hangyang Sino Plaza 3 ***
Height: 231.7
Floors: 53
Status: Completed
Started: 2014
Completed: 2018
Functions: office / retail
Rank: 10

*** Sankee Plaza ***
Height: 231
Floors: 50
Status: Completed
Started: 2011
Completed: 2014
Functions: office
Rank: 12

*** KWG International Plaza ***
Height: 228.1
Floors: 50
Status: Completed
Started: 2014
Completed: 2018
Functions: office
Rank: 13

*** Hangyang Sino Plaza 2 ***
Height: 225.7
Floors: 50
Status: Completed
Started: 2014
Completed: 2018
Functions: hotel / retail
Rank: 14

*** Liyuan Skyline City ***
Height: 221.9
Floors: 57
Status: Completed
Started: 2009
Completed: 2013
Functions: office
Rank: 15

*** Tsingtao Haier Union Square Tower 1 ***
Height: 220.5
Floors: 52
Status: Under Construction
Started: 2013
Functions: office
Rank: 16

*** Park Lane Manor 5 ***
Height: 220
Floors: 60
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 17

*** Park Lane Manor 6 ***
Height: 220
Floors: 60
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 17

*** Science and Technology Park Headquarters C3 ***
Height: 220
Floors: 41
Status: Architecturally Topped Out
Started: 2014
Completed: 2019
Functions: office
Rank: 19

*** Nanhu Mingdu Plaza ***
Height: 218
Floors: 47
Status: Completed
Started: 2009
Completed: 2013
Functions: office
Rank: 20

*** Qingxiu Wanda Mansion 1 ***
Height: 216.4
Floors: 60
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 21

*** Qingxiu Wanda Mansion 4 ***
Height: 216.4
Floors: 60
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 21

*** Yuda Group Headquarters Tower 1 ***
Height: 210
Floors: 50
Status: Completed
Started: 2015
Completed: 2018
Functions: office
Rank: 23

*** Greenland Center Tower 8 ***
Height: 210
Floors: 47
Status: Completed
Started: 2014
Completed: 2017
Functions: office
Rank: 24

*** Triumph One #1 ***
Height: 202.9
Floors: 47
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 25

*** Triumph One #2 ***
Height: 202.9
Floors: 47
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 25

*** Triumph One #3 ***
Height: 200.3
Floors: 46
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 27

*** Triumph One #4 ***
Height: 200.3
Floors: 46
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 27

*** Qingxiu Wanda Plaza Office Tower 1 ***
Height: 200
Floors: 47
Status: Completed
Started: 2013
Completed: 2015
Functions: office
Rank: 29

*** Qingxiu Wanda Plaza Office Tower 2 ***
Height: 200
Floors: 47
Status: Completed
Started: 2013
Completed: 2015
Functions: office
Rank: 29

*** Qingxiu Wanda Plaza Office Tower 3 ***
Height: 200
Floors: 47
Status: Completed
Started: 2013
Completed: 2015
Functions: office
Rank: 29

*** Qingxiu Wanda Mansion 2 ***
Height: 195
Floors: 60
Status: Under Construction
Functions: residential
Rank: 32

*** Logan International Headquarters Tower 2 ***
Height: 191
Floors: 37
Status: Completed
Started: 2014
Completed: 2017
Functions: office
Rank: 33

*** Nanning Logan Century 2 ***
Height: 181.75
Floors: 51
Status: Completed
Started: 2013
Completed: 2017
Functions: serviced apartments
